CovidenceID,Title,PaperType,Region,Scale,Nexus,NChallenge,Gov,Policy,Actors,CrossCut
56,Nexus disrupted: Lived realities and the water-energy-food nexus from an infrastructure perspective,Perspective,Sub-Saharan Africa,Local >1 km² to 100 km² (neighbourhood to municipality); Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Other: Nexus disruptions,Network Governance,NA,Private,Equity; Energy; Other: Gender
58,Governing for Transformative Change across the Biodiversity-Climate-Society Nexus,Review; Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate; Health; Food,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),NA,Rights-Based Instruments and Customary Norms; Economic and Financial Instruments; Social and Cultural Instruments,Funders; Civil Society; IPLCs,Equity; Poverty; Indigenous values and knowledge
60,"Social-ecological connections across land, water, and sea demand a reprioritization of environmental management",Perspective,Australia and New Zealand,"Local >1 km² to 100 km² (neighbourhood to municipality); Regional (multiple countries, whole continents)",Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance; Community Governance,Other: none,Academia,Education
61,"Food, Energy and Water Nexus: An Urban Living Laboratory Development for Sustainable Systems Transition",Empirical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance,Other: none,Private; Governments,Energy
65,Ten Years of Research on the Water-Energy-Food Nexus: An Analysis of Topics Evolution,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Other: governance that allow coordination between different actors,NA,NA,Energy
66,"What is climate security? Framing risks around water, food, and migration in the Middle East and North Africa",Review,Northern Africa; Western Asia,Not applicable (no specific spatial location),Climate; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,"Other: Strategies to decrease vulnerability and provide better adaptation must be interwoven across all interventions, especially focused on those that mitigate water and food insecurity",Private; Media; Civil Society; Academia; Governments; Other: Politicians,Equity; Poverty; Employment
67,The quest for sustainable forest bioenergy: win-win solutions for climate and biodiversity,Review,Eastern Europe;  Northern Europe; Southern Europe; Western Europe,"Regional (multiple countries, whole continents)",Biodiversity; Climate,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Network Governance,Legal and Regulatory Instruments,Regional Organisations,Economic growth; Energy
70,A Water-Centric Approach in the Assessment and Governance of the Water-Energy-Climate Change Nexus in South Africa,Conceptual/theoretical,Sub-Saharan Africa,National (whole country),Climate; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,Other: none,Other: none,Energy
71,The food water energy nexus in an urban context: Connecting theory and practice for nexus governance,Review; Conceptual/theoretical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Market Governance,Legal and Regulatory Instruments,Private; Funders; Civil Society; Academia; Regional Organisations; Governments; Other: International organisations,Energy
72,Water-food-energy nexus for transboundary cooperation in Eastern Africa,Modelling,Sub-Saharan Africa,"Regional (multiple countries, whole continents)",Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Other: cooperation vs. no cooperation,Legal and Regulatory Instruments,Multilateral Organisations; Governments,Energy
78,Integrating Social-Ecological and Political-Ecological Models of Agrobiodiversity With Nutrient Management of Keystone Food Spaces to Support SDG 2,Empirical,Latin America and the Caribbean,Site <1 km² (field to farm),Biodiversity; Food,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,NA,IPLCs,Indigenous values and knowledge; Other: LULC
83,Assessing the Nexus on Local Perspective: A Quali-Quantitative Framework for Water-Energy-Food Security Evaluation in Neglected Territories,Empirical,Latin America and the Caribbean,Subnational >100 km² (watershed),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Community Governance,Rights-Based Instruments and Customary Norms; Other: Better data collection from the government to better assess social contexts,Civil Society; Governments,Poverty; Energy
84,The need for stewardship of lands exposed by deglaciation from climate change,Opinion,NA,NA,Climate; Health,NA,NA,NA,NA,Other: Migration
87,Analysing the Water-Energy-Food Nexus From a Polycentric Governance Perspective: Conceptual and Methodological Framework,Conceptual/theoretical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Health; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Other: NONE,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Academia; Regional Organisations; Governments,Equity; Economic growth; Energy
89,Sustainability of the Water-Energy-Food Nexus in Caribbean Small Island Developing States,Empirical,Latin America and the Caribbean,NA,Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Other: Adaptive governance,NA,Funders; Multilateral Organisations,Energy
93,How Can We Use the Water Cost Instrument in a Scarcity Scenario for the Power Sector in Brazil?,Modelling,Latin America and the Caribbean,Subnational >100 km² (watershed),Food; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Market Governance,Economic and Financial Instruments,Private; Governments,Energy
100,A regional approach to implementing the WEF nexus: a case study of the Southern African Development Community,Review; Other: More of a summary of a policy approach,Sub-Saharan Africa,"Regional (multiple countries, whole continents)",Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments; Social and Cultural Instruments,Private; Funders; Regional Organisations; Governments,Energy
101,Analysing complex policy problems: a critical review of the literature,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate; Health; Food,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Hierarchical Governance; Network Governance; Other: policy integration, multi-level governance",NA,NA,Energy
105,"A 'Chennai' in Every City of the World: The Lethal Mix of the Water Crisis, Climate Change, and Governance Indifference",Review,Southern Asia,National (whole country),Climate; Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Hierarchical Governance; Network Governance,Legal and Regulatory Instruments,Private; Civil Society; NGOs; Governments,"Equity; Poverty; Energy; Other: civil rights, democracy, rule of law"
106,Identifying leverage points for shifting Water-Energy-Food nexus cases towards sustainability through the Networks of Action Situations approach combined with systems thinking,"Perspective; Conceptual/theoretical; Other: Discuss the NAS-WEF Nexus in Switzerland, thus is a case study paper.",Southern Europe; Western Europe; Not applicable (no specific spatial location),Subnational >100 km² (watershed); Not applicable (no specific spatial location),Biodiversity; Climate; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms,Private; Civil Society; IPLCs; NGOs; Regional Organisations; Governments,Energy
110,Operationalizing water-energy-food nexus research for sustainable development in social-ecological systems: an interdisciplinary learning case in Central Asia,Empirical,Central Asia,"Regional (multiple countries, whole continents)",Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Other: Transboundary governance,NA,Funders; Civil Society; Academia; Regional Organisations; Governments,Energy
120,Governing complex environmental policy mixes through institutional bricolage: lessons from the water-forestry-energy-climate nexus,Other: Something between review and perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,NA,NA,Energy
121,A new way forward for ocean-climate policy as reflected in the UNFCCC Ocean and Climate Change Dialogue submissions,"Other: Summary of the Ocean and Climate Change Dialogue, decided at COP25 and launched online in December 2020",Not applicable (no specific spatial location),Not applicable (no specific spatial location),Biodiversity; Climate,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),Community Governance,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms,Private; Civil Society; Academia; IPLCs; NGOs; Multilateral Organisations; Governments,Equity; Poverty; Employment; Indigenous values and knowledge; Energy
122,"Understanding barriers to collaborative governance for the food-energy-water nexus: The case of Phoenix, Arizona","Other: Social network analysis, participant observation, and interviews",Northern America,Local >1 km² to 100 km² (neighbourhood to municipality),Food; Water,Other: Sector mismatch/scale mismatch,Other: Collaborative governance,Legal and Regulatory Instruments,Private; NGOs; Governments,Energy
124,Simulating the economic and environmental effects of integrated policies in energy-carbon-water nexus of China,Empirical,Eastern Asia,National (whole country),Climate; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,Economic and Financial Instruments,NA,Energy
125,Designing policy mixes for emerging wicked problems. The case of pharmaceutical residues in freshwaters,Conceptual/theoretical,Western Europe,National (whole country),Biodiversity; Health,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Academia; NGOs; Regional Organisations; Governments,NA
128,Water/climate nexus environmental rural-urban migration and coping strategies,Conceptual/theoretical; Empirical,Southern Asia,Subnational >100 km² (watershed),Climate; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Community Governance,Rights-Based Instruments and Customary Norms; Social and Cultural Instruments,Civil Society; Academia; Governments,Equity; Poverty; Economic growth; Employment
133,Food-energy-water security in sub-Saharan Africa: Quantitative and spatial assessments using an indicator-based approach,Empirical; Modelling,Sub-Saharan Africa,"National (whole country); Regional (multiple countries, whole continents)",Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Hierarchical Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,NA,Energy
135,Groundwater-sourced irrigation and agro-power subsidies: Boon or bane for small/marginal farmers in India?,Review,Southern Asia,National (whole country),Climate; Food; Water,"Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring); Other: Limited information/data, inappropriate subsidies, lack of monitoring",Market Governance,Economic and Financial Instruments; Social and Cultural Instruments; Other,Private; Governments,Equity; Poverty; Energy
144,Policy and governance dynamics in the water-energy-food-land nexus of biofuels: Proposing a qualitative analysis model,Review; Empirical,Latin America and the Caribbean,National (whole country),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Academia; Multilateral Organisations,Equity; Employment; Energy; Other: Land
147,Urban water-energy-food-climate nexus in integrated wastewater and reuse systems: Cyber-physical framework and innovations,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity),NA,NA,NA,Energy; Other: Waste
153,Empowering blue economy: From underrated ecosystem to sustainable industry,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Other: Provisioning of nexus elements,Market Governance,Economic and Financial Instruments,Private; Civil Society; Academia; Governments,Energy
161,Water-energy-food nexus approach at the core of businesses – How businesses in the bioenergy sector in Brazil are responding to integrated challenges?,Empirical,Latin America and the Caribbean,National (whole country),Food; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Market Governance,Economic and Financial Instruments; Social and Cultural Instruments,Private,Economic growth; Employment; Energy
171,Nexus between water security framework and public health: A comprehensive scientific review,Review,Latin America and the Caribbean; Northern America; South-eastern Asia; Southern Asia;  Northern Europe; Australia and New Zealand; Not applicable (no specific spatial location),"National (whole country); Regional (multiple countries, whole continents); Multi-regional (multiple continents/geographic regions); Not applicable (no specific spatial location)",Health; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,NA,"Civil Society; Other: ""Key informants""",Poverty
173,Assessing progress towards sustainable development goals through nexus planning,Perspective; Conceptual/theoretical; Empirical,Sub-Saharan Africa; Not applicable (no specific spatial location),National (whole country); Not applicable (no specific spatial location),Biodiversity; Health; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),NA,NA,NA,Equity; Poverty; Economic growth; Education; Energy
178,Shifting from Production-Based to Consumption-Based Nexus Governance: Evidence from an Input–Output Analysis of the Local Water-Energy-Food Nexus,Modelling,Eastern Asia,National (whole country),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),"Market Governance; Other: Consumption-based governance, focusing intensity metrics on scale efficiency and aiming quantity metrics on pure technical efficiency, and localizing province-specific management strategies.",Legal and Regulatory Instruments,Governments,Energy
186,"Aquaculture-capture fisheries nexus under Covid-19: impacts, diversity, and social-ecological resilience",Empirical,South-eastern Asia,Subnational >100 km² (watershed),Health; Food,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus),Hierarchical Governance; Community Governance; Other: Multi-level governance,Rights-Based Instruments and Customary Norms; Economic and Financial Instruments,Private; IPLCs; Governments,Equity
188,Scale-related governance challenges in the water–energy–food nexus: toward a diagnostic approach,Review; Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms; Economic and Financial Instruments,Private; Civil Society; Multilateral Organisations; Governments,Energy
191,Reflections on farmers’ social networks: a means for sustainable agricultural development?,Review,Southern Asia,National (whole country),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Market Governance; Network Governance; Community Governance,Economic and Financial Instruments; Social and Cultural Instruments,Private; Governments,Equity; Energy
193,"Water-energy-food nexus: Critical review, practical applications, and prospects for future research",Review; Perspective; Conceptual/theoretical,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Other: Governance among different nexus dimensions' sectors,Other: Knowledge and monitoring instruments,Academia; Regional Organisations; Multilateral Organisations; Governments; Other,Energy
196,Measuring urban food-energy-water nexus sustainability: Finding solutions for cities,Conceptual/theoretical; Empirical; Modelling,Eastern Asia;  Northern Europe,Local >1 km² to 100 km² (neighbourhood to municipality),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,"Other: Global efforts, such as ISO 37120 (2018), the Sustainable Development Goals (UN, 2016), Refrence Framework for European Sustainable Cities (RFSC, 2014), BREEAM Comunities (BREEAM, 2011), LEED for Neighborhood Development (CASBEE, 2007)","Private; Civil Society; Academia; Regional Organisations; Governments; Other: A third category was evaluated: ""expert"" = people living in the four target cities based on a search for the keywords include ""nexus"", ""food-water-energy"", ""urban"", and ""sustainability"" in google scholar.
",Energy
197,Achieving water security in Nepal through unravelling the water-energy-agriculture nexus,Conceptual/theoretical,Southern Asia,Local >1 km² to 100 km² (neighbourhood to municipality); Subnational >100 km² (watershed),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #4 – Nexus Financial Challenge (ensuring adequate financing for the nexus); Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,Legal and Regulatory Instruments; Rights-Based Instruments and Customary Norms; Economic and Financial Instruments; Social and Cultural Instruments,Civil Society; Academia; IPLCs; NGOs; Multilateral Organisations; Governments,Energy
200,A review of water-forest-energy-food security nexus data and assessment of studies in East Africa,Review,Sub-Saharan Africa,"Regional (multiple countries, whole continents)",Biodiversity; Climate; Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance; Community Governance,Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,Regional Organisations; Governments,Equity; Indigenous values and knowledge; Energy
204,"Narrating the impacts of climate change for urban health governance in Guangzhou, China",Review; Conceptual/theoretical,Eastern Asia,Local >1 km² to 100 km² (neighbourhood to municipality); National (whole country),Climate; Health,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments,Governments,NA
217,Sdg implementation through technology? Governing food-water-technology nexus challenges in urban agriculture,Review; Empirical,Western Europe,National (whole country),Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance,Legal and Regulatory Instruments,"Private; Civil Society; Regional Organisations; Governments; Other: Water sector, Food business, Local wastewater associations, food and agribusiness actors",Other: Technology
218,Energy and Environmental Security Nexus in Pakistan,Review; Other: Book,Southern Asia,National (whole country),Biodiversity; Climate; Health; Food,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments,Private; IPLCs; Governments,Poverty; Economic growth; Employment; Indigenous values and knowledge; Education; Energy
219,Making sustainability plans more equitable: an analysis of 50 U.S. Cities,Review,Northern America,National (whole country),Climate; Food,NA,NA,Social and Cultural Instruments,Private; Governments; Other: City councils,Equity
222,The conceptual basis of water-energy-food nexus governance: systematic literature review using network and discourse analysis,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Other: integrated water resource management,NA,NA,Equity; Energy
226,Network governance for collective action in implementing united nations sustainable development goals,Other: Network analysis,Eastern Europe;  Northern Europe; Southern Europe; Western Europe,"Regional (multiple countries, whole continents)",Food; Water,Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Network Governance,Legal and Regulatory Instruments,Civil Society; Regional Organisations; Multilateral Organisations; Governments,Energy
227,"Foundations for convergence: Sub-national collaboration at the nexus of disaster risk reduction, climate change adaptation, and land restoration under multi-level governance in Kenya",Empirical,Sub-Saharan Africa,National (whole country),Climate; Food; Water,"Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Civil Society; Academia; IPLCs; NGOs; Multilateral Organisations; Governments,Equity; Indigenous values and knowledge
240,Gender Specific Differences of Smallholder Farm Households Perspective of Food-Energy-Land Nexus Frameworks in Ethiopia,Empirical,Sub-Saharan Africa,Subnational >100 km² (watershed),Food; Water,Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs),Other: none,NA,Funders; Civil Society; NGOs; Governments,Equity; Energy
245,Sustainability considerations in water-energy-food nexus research in irrigated agriculture,Review,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",NA,NA,Governments,Energy
254,Confronting governance challenges of the resource nexus through reflexivity: A cross-case comparison of biofuels policies in Germany and Brazil,Conceptual/theoretical; Empirical,Latin America and the Caribbean; Western Europe,National (whole country),Biodiversity; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #2 – Nexus Values Challenge (considering multiple values and trade-offs); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),Hierarchical Governance; Market Governance,Legal and Regulatory Instruments; Economic and Financial Instruments,Private; Civil Society; Academia; NGOs; Governments; Other: National organisations (public/private),Energy
256,"The global governance of water, energy, and food nexus: allocation and access for competing demands",Review; Perspective,Not applicable (no specific spatial location),Not applicable (no specific spatial location),Climate; Food; Water,Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus),NA,Legal and Regulatory Instruments; Economic and Financial Instruments; Social and Cultural Instruments,NA,Equity; Energy
266,The role of communication in managing complex water-energy-food governance systems,Conceptual/theoretical,Northern America,Subnational >100 km² (watershed),Biodiversity; Climate; Health; Food; Water,"Challenge #1 - Nexus Complexity Challenge (addressing and embracing nexus complexity); Challenge #3 – Nexus Governance Challenge (effective governance of the nexus) ; Challenge #5 – Nexus Knowledge and Scaling Challenge (ensuring adequate data, information, and monitoring)",Network Governance,Legal and Regulatory Instruments,Academia; NGOs; Multilateral Organisations; Governments,Energy
